ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
126,2399,1623,1.031235,1573.841074,971173.6737,509019.5328
127,4475,8007,2.023453,3957.097101,972894.6879,514215.2165
128,3111,6983,1.888966,3696.731439,969987.5162,508192.8133
129,2660,826,1.024268,806.429567,976007.8761,512439.0304
130,2581,466,1.102883,422.528954,974270.4227,511283.9292
131,1975,316,0.695076,454.626544,974038.3599,510146.6351
132,2206,732,0.959014,763.283956,976107.1275,509215.9618
133,5680,280,2.976071,94.083777,976347.6465,501451.16
134,2042,644,0.957274,672.743645,969310.9557,514352.7952
135,1795,1515,0.83232,1820.213379,968475.5465,509954.9993
136,3124,1331,1.061517,1253.86593,969386.6668,512222.9841
137,2001,364,0.974608,373.483493,976435.2461,505758.71
138,3805,662,1.724929,383.783912,977605.6998,507815.0527
139,4339,2214,1.838062,1204.529553,966833.3657,508958.2282
140,3226,1644,1.920582,855.990528,966898.8263,509931.9239
141,1433,852,0.589243,1445.922989,971584.8704,515450.71
142,4431,1213,2.336839,519.077266,964774.4284,498116.2607
143,2759,5693,1.001849,5682.49307,959037.1921,507223.2578
144,3645,1029,1.35624,758.715272,972087.285,447670.5294
145,2886,6512,2.350684,2770.257508,966723.807,499730.7159
146,2603,447,2.185731,204.50824,953769.5342,503070.4108
147,4047,23362,2.614711,8934.830656,966901.3426,502342.4096
148,3935,3746,2.540953,1474.250016,968736.5497,456051.1051
149,2076,1600,2.792817,572.89826,959612.1376,502947.5728
150,2769,1355,2.221753,609.878776,959575.5722,501278.4223
151,2442,268,2.001258,133.915767,953173.6912,500951.5366
152,1776,170,1.205274,141.046766,958930.5254,499639.9914
153,2547,3355,1.854096,1809.507167,958981.4851,498080.9615
154,2895,2038,1.825744,1116.257263,960139.1459,499714.8041
155,1883,158,0.163155,968.404278,963235.7056,511975.754
156,2301,11646,1.205334,9662.052178,962769.9081,512637.3424
157,4395,5191,1.555957,3336.210448,972686.2367,512432.588
158,1434,73,0.556511,131.174406,977389.7531,511067.956
159,3303,759,2.870137,264.447307,980463.6311,499669.5468
160,2824,283,1.134597,249.42777,976199.0513,510758.8933
161,2023,432,0.761122,567.583121,975745.8117,511386.772
162,5390,430,2.5688,167.393335,979787.6241,506299.3347
163,1909,251,1.083499,231.656882,963993.8872,508643.927
164,2423,1834,1.435996,1277.162332,969469.5914,511101.9497
165,1007,481,0.369657,1301.206253,975037.4302,506132.4819
166,3007,927,1.29101,718.042463,974331.8411,504973.0785
167,1816,173,0.749546,230.806381,976070.9893,506619.4425
168,2395,495,0.877838,563.885364,977409.5623,506574.0033
169,810,23,0.426297,53.952995,977487.2809,504936.9988
170,3487,4485,1.767583,2537.363168,969523.6339,509373.5058
171,3144,866,3.954392,218.997004,972542.2157,503274.5396
172,2583,1512,1.59473,948.12288,974115.8883,502866.3804
173,2384,467,1.43131,326.274532,974362.0591,503844.6944
174,4168,463,2.257369,205.106033,968866.9737,502907.8267
175,1033,2045,1.626004,1257.684483,955421.0616,506328.4251
176,5872,272,2.242654,121.284871,980842.9189,502990.4729
177,2353,424,1.070694,396.004834,975856.1056,504584.7686
178,2388,1559,0.689347,2261.560578,968443.2606,511231.5128
179,2520,443,0.863751,512.87929,971332.4793,509823.3729
180,2090,237,1.367261,173.339253,971163.4361,514119.5959
181,3378,4400,1.610549,2731.987664,971332.3555,511113.2589
182,3234,982,0.988128,993.798374,972355.9152,511123.7128
183,1859,187,2.504071,74.678394,980071.6277,504778.2185
184,1913,325,0.841842,386.058191,973184.6891,511220.5247
185,1832,1476,0.83948,1758.231286,971778.5171,507889.1424
186,1747,359,1.427348,251.515398,980766.4135,501031.8661
187,4183,519,1.555793,333.591937,974164.379,515937.0104
188,2700,5406,1.823184,2965.142301,972801.2409,509612.659
189,3498,239,1.397039,171.076112,980181.8028,502322.0791
190,2682,371,1.131465,327.893483,974150.0442,506229.6579
191,412,370,0.39302,941.427917,971081.5605,512100.7483
192,2886,1325,2.267233,584.412806,973258.4286,507681.8763
193,2506,433,4.722732,91.68422,971315.6242,506026.5921
194,4967,704,1.467473,479.736254,966875.5742,511411.1033
195,3234,1380,0.813939,1695.458751,969006.774,516514.8745
196,8311,8945,25.430582,351.741852,973164.8542,448735.7364
197,1350,511,0.435541,1173.253494,971168.4974,516486.3366
198,863,29056,4.456187,6520.372686,965584.1399,502392.403
199,1832,526,1.040639,505.458665,960256.2316,498139.353
200,2354,1247,0.856053,1456.685509,955240.3533,503281.367
201,1177,5503,0.463051,11884.22009,965923.1417,500995.6247
202,5109,3584,3.219369,1113.261636,970262.9446,450092.4207
203,1430,153,3.102274,49.318661,962453.7904,502897.4283
204,3492,802,9.332494,85.9363,962519.7879,505152.4989
205,2026,1305,1.756869,742.798695,955296.0256,504800.0139
206,2059,8686,4.29796,2020.95878,969952.5311,503981.8572
207,1988,570,4.246326,134.233688,953941.4242,499901.7137
208,2941,1625,2.075933,782.780562,964801.864,501331.5752
209,3657,6829,2.884816,2367.222034,968252.4717,500387.9103
210,1007,423,0.582027,726.770408,958684.6097,504453.2813
211,2310,7312,3.409883,2144.3551,955983.8952,497902.4779
212,3659,1244,1.269339,980.037642,957696.6854,503041.1438
213,2594,1683,3.297152,510.440526,975361.912,499908.725
214,8499,1642,13.1003,125.340641,973620.2071,441021.604
215,1049,63,0.638998,98.591858,974820.1293,507967.445
216,1367,543,4.149483,130.859676,960004.8113,505349.3564
217,1344,301,0.772973,389.405581,973214.1023,506150.6454
218,6074,6062,3.622591,1673.387915,968995.2479,462915.3089
219,4411,718,2.042585,351.515359,964843.0579,499779.9871
220,2906,360,1.427055,252.267782,971112.7212,460237.2963
221,1581,312,0.958796,325.408116,957716.3375,500619.9725
222,1907,1065,1.811879,587.787595,957551.055,499506.4456
223,2648,1348,1.119229,1204.400529,972751.6898,515962.4746
224,1874,5921,2.178073,2718.458013,974574.3026,514209.5795
225,1777,926,0.880614,1051.53904,976245.9209,508086.2049
226,1815,467,0.629139,742.284296,974669.9287,509227.4399
227,2620,535,89.514546,5.976682,995168.4999,501607.5258
228,2855,2574,26.632341,96.649408,980846.9034,511043.291
229,1264,308,20.402366,15.096288,983699.4459,513739.6337
230,2520,421,0.717372,586.864277,960465.6277,507287.1186
231,4513,294,1.828088,160.823768,975963.2437,502933.002
232,2675,218,1.059863,205.686961,977500.6748,502461.3804
233,2100,404,1.212792,333.115654,972375.4868,506302.0048
234,2967,194,1.143121,169.710818,977534.9233,509450.8274
235,1941,220,2.482958,88.603996,978549.8849,501265.5008
236,2288,512,0.917053,558.310152,969442.5446,513022.586
237,1725,127,4.181843,30.369385,979463.8042,508338.5492
238,6446,10943,15.18908,720.451798,974682.6973,439354.5493
239,2920,634,4.140211,153.132292,983375.4488,498865.9411
240,3253,429,4.864202,88.19535,981388.1669,498790.8899
241,1739,222,1.737518,127.768461,967584.0715,502651.2721
242,1596,1602,2.399276,667.701423,974469.7764,501474.9439
243,651,26,0.180853,143.763167,978119.3124,506156.1373
244,1495,454,149.189035,3.043119,998361.4495,510950.6385
245,6788,1032,111.091317,9.289655,981904.3871,442253.1743
246,3397,128,0.55731,229.674687,969838.7384,513823.6474
247,1441,436,0.564821,771.925973,971474.6092,513016.2143
248,1061,173,0.26906,642.979261,975870.3912,507273.7388
249,2197,1663,202.251522,8.222435,777376.2407,235965.3609
250,1349,1261,928.034593,1.358786,794702.5684,242014.5983
251,2978,1325,60.604832,21.862943,769546.8131,244214.9097
252,3862,1393,720.118308,1.934404,718306.7887,229045.003
253,1996,1182,174.861036,6.759653,919884.1614,352127.7135
254,2160,1083,543.498178,1.992647,922268.2312,362334.8242
255,2420,1071,199.939954,5.356608,1119070.834,311909.6093
256,3897,1381,226.294432,6.102669,912514.9005,543507.7197
257,5258,819,116.920663,7.00475,924856.1477,553299.3016
258,4586,2214,2.020484,1095.777051,933390.4498,550812.3972
259,3230,524,1.820667,287.806612,934408.3684,550389.7075
260,2463,764,2.085152,366.400147,937135.6431,542662.4685
261,4365,1595,9.099371,175.286841,944150.5548,545511.4039
262,9078,1244,21.851131,56.930692,948839.4916,550315.4901
263,2300,1689,1.414187,1194.325786,945241.8701,543230.9002
264,3910,1140,2.453508,464.640833,947314.8398,544673.6161
265,3680,251,2.477802,101.299458,943787.1122,536669.2368
266,2293,478,4.498214,106.264397,950371.4675,546163.4074
267,3020,1101,103.093409,10.679635,934788.2599,568648.9109
268,2817,8265,13.67199,604.520629,940778.6481,544268.7566
269,4293,2113,4.970356,425.120454,940754.4533,552665.9564
270,2400,721,2.580204,279.435269,932405.3014,551117.7457
