ID,EMP,EMP_DENS,AREA_KM,X,Y
254,2351,3672.015561,0.640248,239047.4411,8156754.253
255,7629,6475.558855,1.178122,238392.9445,8155593.252
256,1351,1452.817412,0.929917,241053.4651,8150281.917
257,1490,1364.079382,1.092312,242387.8697,8151003.072
258,447,403.87976,1.106765,334252.3421,8229006.214
259,368,126.051735,2.919436,223514.1606,8150179.659
260,195,196.267525,0.993542,250949.0589,8160295.308
261,122,101.399074,1.203167,233092.7143,8138165.327
262,898,433.090602,2.073469,239661.739,8138106.851
263,449,179.475989,2.501727,248819.6848,8151620.511
264,273,888.872644,0.307131,241829.6715,8158852.508
265,25324,24259.867,1.043864,239735.3783,8157574.47
266,344,183.685024,1.872771,235931.3027,8137019.65
267,465,18.931423,24.562337,233830.7399,8133256.284
268,699,415.48601,1.682367,234813.9929,8137946.881
269,1668,1376.505391,1.211764,225373.2218,8150532.753
270,55,76.857749,0.715608,249409.1924,8158491.345
271,53,91.120383,0.581648,239268.1571,8141438.011
272,353,854.797786,0.412963,226716.8701,8172474.061
273,1022,858.492322,1.190459,227607.16,8172152.296
274,733,542.326595,1.351584,231688.8451,8143760.796
275,7373,3197.364513,2.305962,242370.1051,8138523.871
276,361,246.140595,1.466641,249587.7347,8149406.288
277,97,75.16028,1.290575,226633.1306,8142785.972
278,915,401.01274,2.281723,228922.6328,8143662.441
279,1925,861.999681,2.233179,232928.167,8164322.388
280,263,47.71378,5.512035,231064.9757,8171586.5
281,919,597.489317,1.538103,245603.489,8145865.021
282,49,45.94769,1.06643,253423.2937,8137751.093
283,34,104.65471,0.324878,244785.3929,8163682.822
284,266,535.127344,0.497078,229854.4819,8158209.596
285,57,153.9568,0.370234,228646.9254,8152599.428
286,655,779.331297,0.840464,231387.064,8144486.416
287,1010,493.243365,2.047671,226480.5659,8144056.134
288,629,1012.292675,0.621362,241002.7072,8145475.157
289,378,653.464399,0.578455,242631.6595,8156852.421
290,154,159.736044,0.96409,241396.1483,8167167.722
291,472,159.797988,2.953729,234532.4593,8171437.247
292,843,498.920875,1.689647,236430.7778,8170267.62
293,359,916.419532,0.391742,226158.1264,8170813.145
294,165,38.071593,4.33394,225759.0298,8175116.619
295,1325,754.586134,1.755929,225318.0048,8146970.175
296,108,121.207119,0.891037,225839.7011,8172001.007
297,133,145.63777,0.913225,245652.4698,8143899.197
298,450,328.681359,1.369107,249158.6138,8141715.924
299,73,41.456112,1.760898,224515.4785,8146864.57
300,1146,1213.755726,0.944177,242938.9771,8155888.5
301,233,371.266489,0.627582,243778.0792,8155794.76
302,2145,162.965991,13.162255,254399.0925,8146852.467
303,1934,1115.603609,1.733591,224956.9085,8152203.224
304,2514,2174.66318,1.156041,242201.686,8163551.391
305,108,86.167722,1.25337,235392.3249,8170857.832
306,825,1525.746581,0.540719,244366.3911,8165160.803
307,2301,1629.29978,1.412263,239305.3521,8155375.396
308,130,56.205607,2.312936,237051.7484,8135770.586
309,844,1051.077125,0.802986,242388.9198,8152768.914
310,388,121.278775,3.199241,223174.6678,8170417.922
311,1492,460.637091,3.238992,228871.6641,8167024.897
312,350,392.717726,0.891225,234651.275,8160102.258
313,162,81.004855,1.99988,224056.5991,8172195.897
314,87,54.924277,1.583999,225140.3166,8170605.904
315,42,116.523202,0.360443,237532.117,8168308.352
316,50,6.801895,7.350892,253980.6165,8161728.744
317,188,16.815173,11.180379,252357.5646,8156493.86
318,7644,407.398615,18.76295,289426.1348,8043543.613
319,735,2.219236,331.19513,217104.2258,8126211.479
320,171,200.451413,0.853075,247769.2216,8160186.794
321,720,326.849155,2.202851,254221.4231,8140943.827
322,192,159.322635,1.205102,258476.9219,8139481.662
323,6035,1087.022083,5.551865,229052.4342,8145071.286
324,420,439.764319,0.955057,236618.1137,8168589.815
325,26170,2523.397707,10.370938,238171.6568,8148330.182
326,293,491.502938,0.596131,242465.2267,8168869.135
327,1037,436.094738,2.377924,225236.435,8156954.782
328,541,579.700243,0.933241,245802.3495,8154422.652
329,172,123.026419,1.398074,245837.423,8142688.155
330,309,260.508562,1.186141,302288.7537,8199275.165
331,667,1018.388978,0.654956,241724.1243,8156035.359
332,84,45.500195,1.846146,249278.3234,8157409.092
333,109,168.678831,0.646198,249438.2992,8160152.276
334,918,1185.243632,0.774524,226566.7184,8151840.662
335,1969,2035.143149,0.9675,242265.452,8155046.403
336,855,1867.028203,0.457947,235030.8486,8154060.142
337,6281,2504.311688,2.508074,239386.7002,8153932.393
338,517,765.623835,0.675266,238952.7998,8152675.099
339,3251,3358.100793,0.968107,238379.2191,8150377.34
340,333,451.581937,0.737408,245492.8506,8150648.472
341,553,282.684115,1.956247,237760.4935,8142552.513
342,1509,2331.228379,0.647298,239736.8809,8151895.588
343,2002,2769.35549,0.722912,240908.2222,8154501.153
344,1505,2688.338675,0.559825,240499.0419,8151122.604
345,879,1576.936113,0.55741,242407.1597,8154533.096
346,1319,573.378347,2.300401,248157.0387,8148701.089
347,2778,2560.049087,1.085135,242839.6249,8150409.081
348,7005,2819.144879,2.484796,244290.2084,8142581.718
349,233,431.690984,0.539738,245972.6083,8139753.764
350,441,883.167546,0.499339,243286.1866,8161617.988
351,323,1759.752071,0.183549,240719.8659,8157634.183
352,962,902.279875,1.066188,242605.0561,8148804.575
353,213,289.52323,0.735692,246735.9048,8145544.374
354,474,558.606278,0.84854,230856.0274,8165478.17
355,1399,832.025868,1.681438,232057.7461,8163761.158
356,90,97.043895,0.927415,249849.8063,8148775.771
357,1566,1816.555106,0.862071,231287.2627,8160814.041
358,502,764.744139,0.656429,230102.4422,8157613.828
359,714,1119.152331,0.637983,231309.0894,8160046.526
360,1855,2303.734718,0.805214,231473.0911,8158382.272
361,1478,1826.325791,0.809275,240050.6437,8159011.269
362,1244,807.621318,1.540326,244652.5898,8162775.422
363,405,350.951831,1.154005,244108.7148,8157693.624
364,1730,1623.550139,1.065566,229865.0691,8153974.88
365,3655,1758.628412,2.078324,231432.448,8153619.285
366,129,194.163626,0.664388,233364.6626,8173033.487
367,248,102.824289,2.411882,228957.0744,8149368.281
368,94,79.113463,1.188167,231454.053,8168508.187
369,1303,1574.561782,0.827532,229908.3612,8156703.132
370,211,494.331886,0.426839,242235.9384,8160834.176
371,178,186.235331,0.95578,244534.2921,8160928.33
372,2618,2408.013301,1.087203,240753.2301,8158972.814
373,669,526.92939,1.26962,255594.2007,8141219.909
374,553,746.727455,0.740565,228255.3707,8151128.198
375,651,1180.7724,0.551334,232940.7176,8150069.129
376,212,241.972871,0.876131,236713.3691,8141183.947
377,1489,916.563484,1.624547,230908.0176,8167138.213
378,109,249.418517,0.437016,242934.4672,8142210.185
379,268,484.23381,0.553452,239066.8565,8139878.222
380,326,1287.53889,0.253196,239894.1745,8139822.196
381,1160,1123.875795,1.032143,246178.3867,8141992.318
382,248,387.660178,0.639736,244634.3956,8161765.405
383,29,147.302058,0.196874,249823.983,8162138.169
384,639,1189.253788,0.537312,239774.8531,8152726.445
385,109,418.627283,0.260375,244551.0514,8150604.842
386,1406,1371.6428,1.025048,243828.2732,8150701.903
387,1800,1715.522274,1.049243,227079.6567,8156818.983
388,7744,449.535916,17.226655,247223.2894,8168727.913
389,18,54.452707,0.330562,235953.0089,8160021.896
390,511,728.141577,0.701787,223572.9285,8163514.652
391,593,558.64935,1.061489,224827.9167,8163361.026
392,58,115.489299,0.502211,225112.4399,8164775.892
393,1503,2.597902,578.543812,257421.9824,8205388.416
394,2326,3558.58784,0.65363,241000.6921,8149737.934
