ID,NAME,EMP,AREA_KM,EMP_DENS,X,Y
212021456,Narre Warren - South West,10341,9.305426,1111.287114,351147.2731,5790075.892
212031300,Cranbourne,7041,13.031656,540.299713,348826.6345,5780920.342
212031458,Narre Warren South (West),1380,6.772946,203.751809,350143.3131,5787249.666
212041309,Clarinda - Oakleigh South,2931,6.324828,463.411811,332954.5062,5799297.88
212041310,Clayton South,5787,7.937568,729.06462,335264.1658,5798843.882
212041311,Dandenong,65689,61.823223,1062.529529,342879.7298,5789300.82
212031305,Hampton Park - Lynbrook,2425,13.345963,181.702886,348061.9167,5788485.976
212031306,Lynbrook - Lyndhurst,2753,7.359323,374.083323,346754.9851,5785861.464
212031308,Pearcedale - Tooradin,1782,98.504832,18.090483,352167.4886,5770151.306
212031457,Narre Warren South (East),1203,6.219226,193.43243,351961.7544,5786291.725
212041317,Springvale,9710,11.107971,874.147043,338138.0749,5798609.478
212041318,Springvale South,1129,4.55661,247.771918,337315.8233,5795800.973
212041459,Noble Park - East,1637,3.768322,434.41086,340276.9968,5796628.438
212041460,Noble Park - West,2117,4.793707,441.62065,339507.8924,5795501.452
212041312,Dandenong North,2082,9.456493,220.166186,343115.2306,5797572.23
212041313,Dingley Village,1994,7.240611,275.391124,335503.8168,5795314.672
212041314,Keysborough,10236,30.278058,338.066596,338822.0028,5790981.759
212041316,Noble Park North,4097,3.760652,1089.438746,341047.8927,5798049.56
212051323,Mount Waverley - North,2173,6.484615,335.10085,335535.0491,5807353.624
212051324,Mount Waverley - South,13280,8.701137,1526.237318,335314.695,5805039.829
212051325,Mulgrave,21214,10.714529,1979.928376,339678.2714,5800861.175
212051326,Oakleigh - Huntingdale,11211,10.168603,1102.511328,333076.557,5802639.517
212051319,Ashwood - Chadstone,4901,6.709868,730.416753,333016.5727,5806640.781
212051320,Clayton,34203,9.414876,3632.867815,335816.2679,5801866.038
212051321,Glen Waverley - East,4302,9.164371,469.426652,339797.6926,5805766.454
212051322,Glen Waverley - West,9072,7.674545,1182.089622,337841.1609,5805707.079
213011331,Delahey,738,3.504115,210.609526,304101.9165,5822947.416
213011332,Keilor Downs,1930,7.656705,252.066653,307255.3737,5822301.972
213011333,Kings Park (Vic.),713,4.431215,160.903951,303552.1948,5820799.336
213011334,St Albans - North,2469,6.52616,378.323547,306357.1832,5821073.262
212051327,Wheelers Hill,4011,10.442371,384.108169,340605.3992,5802887.977
213011328,Ardeer - Albion,1441,4.586303,314.196424,307094.2201,5816761.922
213011329,Cairnlea,716,4.405895,162.509547,305130.0798,5818584.641
213011330,Deer Park - Derrimut,12934,21.336629,606.187603,304008.9318,5815440.608
213011339,Sydenham,1702,3.950563,430.82467,302896.1398,5825140.116
213011340,Taylors Lakes,4767,18.463901,258.179461,304782.3004,5826438.02
213021341,Altona,7057,17.683136,399.080797,307788.5869,5807433.882
213021342,Altona Meadows,1796,10.542266,170.361856,305152.961,5805075.668
213011335,St Albans - South,5247,6.265925,837.38634,306861.4433,5819287.072
213011336,Sunshine,7583,4.732651,1602.273229,309299.2929,5815350.882
213011337,Sunshine North,4349,8.021783,542.148797,309404.243,5818172.485
213011338,Sunshine West,10045,12.971495,774.390307,307924.5404,5813910.231
213031347,Braybrook,5525,7.482808,738.359183,311818.1257,5815923.105
213031348,Footscray,14087,4.96774,2835.69591,314874.626,5814499.995
213031349,Maribyrnong,6357,5.493169,1157.255493,313969.4652,5817304.13
213031350,Seddon - Kingsville,1429,1.679671,850.761846,313932.4997,5813419.902
213021343,Altona North,13540,16.182921,836.684552,309580.3245,5810205.072
213021344,Newport,3839,8.839566,434.29734,313644.9996,5810087.077
213021345,Seabrook,330,1.619581,203.756404,302885.6663,5805028.798
213021346,Williamstown,6692,7.34763,910.769867,313924.9588,5807706.34
213041356,Melton,5961,130.707759,45.605556,287642.1355,5833457.603
213041357,Melton South,2491,110.963553,22.448813,283914.7569,5820185.729
213041358,Melton West,3192,24.201224,131.894155,283252.0958,5828526.032
213041359,Rockbank - Mount Cottrell,5745,125.762107,45.681487,294510.1012,5818206.432
213031351,West Footscray - Tottenham,4833,5.983215,807.759708,311995.5423,5814001.798
213031352,Yarraville,5034,5.619992,895.730812,313573.5142,5812267.04
213041353,Bacchus Marsh,5165,196.307135,26.310811,275410.6355,5831308.684
213041355,Hillside,1390,66.547564,20.887316,296908.2868,5826376.125
213051361,Hoppers Crossing - North,7002,10.916082,641.438934,297785.4726,5806957.015
213051362,Hoppers Crossing - South,4760,7.010745,678.9578,296417.6765,5805719.692
213051363,Laverton,19320,22.241347,868.652425,304481.4276,5809661.444
213051365,Tarneit,3758,62.140106,60.476241,292876.4413,5810811.713
213041360,Taylors Hill,1713,5.96692,287.082783,301592.869,5823469.908
213041461,Burnside,542,2.552598,212.33269,302038.7941,5819632.724
213041462,Burnside Heights,383,1.995635,191.918863,302223.2083,5821522.564
213041463,Caroline Springs,3080,6.952073,443.033323,300631.2666,5820741.631
213051465,Point Cook - North,4957,8.489075,583.926989,301043.3443,5804412.542
213051466,Point Cook - South,1148,9.424306,121.812683,300750.9836,5801600.297
213051467,Werribee - East,2205,7.754557,284.348932,294391.5146,5804347.478
213051468,Werribee - West,1041,127.665918,8.154095,284512.4671,5800264.656
213051366,Truganina,7202,27.163777,265.132496,300627.5463,5810314.879
213051368,Werribee - South,9127,114.040141,80.033223,293780.3632,5796983.471
213051369,Wyndham Vale,1957,128.238177,15.260666,283624.8053,5808921.496
213051464,Point Cook - East,1160,19.03622,60.936467,303978.5193,5801478.322
214011374,Langwarrin,3974,37.617791,105.641504,341951.4123,5774603.996
214011375,Seaford (Vic.),5945,12.432919,478.166069,336786.7267,5780918.235
214011376,Skye - Sandhurst,1161,19.8149,58.592271,343498.8133,5781431.949
214021377,Dromana,2827,45.061255,62.736823,325124.9952,5755025.669
214011370,Carrum Downs,10307,20.31178,507.439525,340034.8649,5782320.455
214011371,Frankston,15131,11.622758,1301.842471,337001.47,5775450.614
214011372,Frankston North,3871,13.239838,292.375179,338568.1289,5777757.828
214011373,Frankston South,2531,14.559803,173.83477,336159.2688,5772954.032
214021382,Mount Martha,2614,30.211378,86.523693,327744.7862,5761786.95
214021383,Point Nepean,4132,67.189793,61.497436,307534.2519,5749878.517
214021384,Rosebud - McCrae,6180,23.79608,259.706641,317194.6948,5751174.398
214021385,Somerville,6410,117.349874,54.622982,339317.7088,5765834.93
214021378,Flinders,2812,287.380373,9.784941,325360.916,5748128.927
214021379,Hastings - Somers,7753,108.883574,71.204496,339615.087,5754224.839
214021380,Mornington,12463,21.092922,590.861712,330224.4651,5766838.466
214021381,Mount Eliza,4284,23.210889,184.568545,332998.2173,5770822.042
215011390,Nhill Region,2693,11043.28564,0.243859,11520.09641,5991568.355
215011391,St Arnaud,1367,3008.582675,0.454367,153800.0036,5934153.919
215011392,Stawell,3387,2743.437604,1.234582,117034.7361,5894057.618
215011393,West Wimmera,1164,5685.908768,0.204717,-3840.00953,5895414.668
215011386,Ararat,3847,161.17616,23.868294,143080.7154,5868415.817
215011387,Ararat Region,985,4023.203819,0.24483,131670.5844,5842612.088
215011388,Horsham,7842,83.0689,94.403561,72571.62934,5924194.105
215011389,Horsham Region,1039,4251.479927,0.244385,61889.25394,5913646.863
215021399,Red Cliffs,1461,246.722917,5.921623,60780.24244,6190171.958
215021469,Mildura - North,11537,25.114682,459.372729,53402.81724,6207189.61
215021470,Mildura - South,3548,50.995765,69.574405,49465.27853,6202545.48
215031400,Buloke,2446,8068.68405,0.303147,139460.1325,6018819.405
215011394,Yarriambiack,2539,7139.533455,0.355625,87223.67569,6007762.729
215021395,Irymple,1798,88.297418,20.362996,56043.48326,6200528.723
215021396,Merbein,1072,101.819229,10.528463,42369.35414,6206574.268
215021398,Mildura Region,1941,21569.05062,0.08999,12783.25542,6127041.393
215031405,Swan Hill Region,1835,5759.184804,0.318621,146994.2705,6106083.307
216011406,Echuca,7919,183.815764,43.08118,299605.9112,5995587.568
216011407,Kyabram,3917,738.854889,5.301447,318353.8165,5985814.424
216011408,Lockington - Gunbower,884,1646.352289,0.536945,272486.7004,5993740.076
215031401,Gannawarra,2186,3568.21629,0.612631,210856.5003,6038885.801
215031402,Kerang,1747,146.606381,11.916262,223709.0257,6042293.52
215031403,Robinvale,1224,181.744782,6.734719,111973.4369,6157375.252
215031404,Swan Hill,5744,126.583281,45.377241,183038.5746,6081202.907
216021413,Numurkah,4153,2321.040384,1.789284,346940.5812,6013125.181
216021414,Yarrawonga,2371,95.005763,24.956381,410160.1695,6011427.647
216031415,Mooroopna,1571,39.972636,39.301886,351687.3369,5970546.091
216031416,Shepparton - North,13182,65.654215,200.779188,356539.042,5976839.491
216011409,Rochester,1458,351.645984,4.146215,296861.8841,5976536.838
216011410,Rushworth,1169,1633.869204,0.71548,307027.7095,5949664.924
216021411,Cobram,3389,131.531968,25.765599,379892.9797,6021393.407
216021412,Moira,624,1498.794773,0.416335,400681.4696,5999150.75
217011421,Hamilton (Vic.),5047,198.345957,25.445439,60914.07121,5810682.909
217011422,Portland,5192,63.985201,81.143763,26541.0312,5742528.914
217011423,Southern Grampians,2157,6562.638074,0.328679,60630.54226,5834003.381
217031471,Camperdown,1527,98.127606,15.56137,163779.185,5761841.202
216031417,Shepparton - South,7506,143.279671,52.387055,359494.8737,5967166.239
216031418,Shepparton Region - East,1341,1055.567811,1.270406,369020.1088,5973647.688
216031419,Shepparton Region - West,4334,1028.683597,4.213152,339779.9581,5967660.387
217011420,Glenelg (Vic.),2575,6121.234235,0.420667,5676.08069,5794189.848
217031476,Otway,1364,1505.899851,0.905771,200059.9856,5717301.643
217041477,Moyne - East,2137,3275.818445,0.652356,123858.8829,5775017.987
217041478,Moyne - West,3231,2037.758444,1.585566,74848.98062,5765675.974
217041479,Warrnambool - North,4382,62.420804,70.200954,106303.0564,5746332.959
217031472,Colac,6675,54.737328,121.946033,201033.8628,5748827.451
217031473,Colac Region,1351,1934.275322,0.698453,205842.188,5755777.39
217031474,Corangamite - North,2127,2538.319868,0.837956,171738.4454,5785151.472
217031475,Corangamite - South,3429,1805.200196,1.899512,160259.3195,5735600.083
217041480,Warrnambool - South,12147,120.199983,101.056587,113407.0963,5741641.915
297979799,Migratory - Offshore - Shipping (Vic.),157,,,,
299999499,No usual address (Vic.),119032,,,,
201011002,Ballarat,17453,12.382215,1409.521641,220563.9874,5838723.785
201011003,Ballarat - North,3726,92.357608,40.343184,226008.6038,5842128.08
201011004,Ballarat - South,5132,32.855552,156.198867,222944.3988,5834676.105
201011005,Buninyong,2940,51.586188,56.991999,224786.001,5829119.336
201011001,Alfredton,4052,52.716402,76.864123,212792.1844,5840059.08
201021010,Creswick - Clunes,1926,856.775414,2.247964,219702.6868,5861141.796
201021011,Daylesford,3087,920.759471,3.352667,250622.7475,5866163.471
201021012,Gordon (Vic.),863,850.316694,1.014916,238796.712,5829199.867
201031013,Avoca,893,1714.232394,0.520933,177754.5478,5886895.085
201011006,Delacombe,2927,34.160126,85.684696,215521.9116,5835653.555
201011007,Smythes Creek,330,104.726674,3.15106,212818.9201,5831336.049
201011008,Wendouree - Miners Rest,9166,67.571504,135.648897,217328.6423,5845125.083
201021009,Bacchus Marsh Region,1431,1038.807508,1.377541,262593.0125,5831812.403
202011018,Bendigo,20384,15.97522,1275.976168,256291.6321,5929556.027
202011019,California Gully - Eaglehawk,2086,33.034159,63.146757,255311.1338,5934161.716
202011020,East Bendigo - Kennington,5397,17.147802,314.734215,260352.0767,5929240.73
202011021,Flora Hill - Spring Gully,1669,13.202346,126.416926,257935.8635,5924809.062
201031014,Beaufort,1208,1863.042298,0.648402,181129.9159,5844005.482
201031015,Golden Plains - North,548,922.06847,0.594316,202883.3958,5813722.075
201031016,Maryborough (Vic.),3344,45.538538,73.432309,210436.1899,5894900.726
201031017,Maryborough Region,829,1627.558778,0.509352,206875.1971,5902149.529
202021026,Bendigo Region - South,1536,796.851857,1.927585,254401.4328,5918965.559
202021027,Castlemaine,5469,83.928847,65.162339,254394.4801,5892295.375
202021028,Castlemaine Region,1516,1514.97657,1.000676,250079.4148,5896236.382
202021029,Heathcote,1106,756.830127,1.461358,290301.4074,5917993.778
202011022,Kangaroo Flat - Golden Square,6454,40.91579,157.738614,254014.1144,5923057.089
202011023,Maiden Gully,572,42.977642,13.309246,250741.03,5928795.281
202011024,Strathfieldsaye,1304,56.410926,23.116089,264337.2295,5925299.165
202011025,White Hills - Ascot,3155,67.774641,46.551335,260668.4431,5937699.581
203011034,Bannockburn,1238,192.052653,6.446149,252501.0419,5782684.754
203011035,Golden Plains - South,1206,1484.529482,0.812379,231054.3313,5796189.643
203011036,Winchelsea,1405,903.262447,1.555473,241241.6656,5761707.144
203021037,Belmont,5392,9.368266,575.560088,267193.0974,5771032.367
202021030,Kyneton,4090,556.494296,7.349581,278642.9922,5877647.596
202021031,Woodend,1751,211.87074,8.264473,280122.0079,5862706.867
202031032,Bendigo Region - North,1405,1440.227523,0.97554,264444.8583,5950452.995
202031033,Loddon,2500,6193.327469,0.40366,217878.0969,5973795.411
203021042,Highton,4870,40.584687,119.995998,262272.4988,5770978.685
203021043,Lara,5667,588.602087,9.627897,269611.0634,5796739.512
203021044,Leopold,1346,27.928083,48.195216,278341.7546,5769763.183
203021045,Newcomb - Moolap,4585,43.291483,105.909978,273810.1301,5771080.596
203021038,Corio - Norlane,7509,80.814958,92.915967,265339.3722,5784845.16
203021039,Geelong,31099,12.816411,2426.498339,269577.1797,5772737.523
203021040,Geelong West - Hamlyn Heights,5250,32.040075,163.857294,263504.9498,5776708.922
203021041,Grovedale,5938,55.705919,106.595495,265301.8309,5766383.479
203031050,Ocean Grove - Barwon Heads,4891,156.98078,31.15668,278441.8888,5763593.057
203031051,Portarlington,1065,71.858926,14.820706,295478.8619,5774597.427
203031052,Point Lonsdale - Queenscliff,1568,61.666382,25.427144,291404.5395,5765499.673
203031053,Torquay,5348,126.319688,42.337027,262274.0306,5755154.516
203021046,Newtown (Vic.),4292,5.807306,739.069028,266493.8811,5773748.695
203021047,North Geelong - Bell Park,10527,21.929803,480.031672,265129.1219,5779461.937
