ID,EMP,AREA_KM,EMP_DENS,X,Y
277,4579,1.922228,2382.131283,340744.5764,550356.898
278,12440,5.500146,2261.757951,337661.9094,611208.2041
279,3669,3.762795,975.073134,329031.3913,625330.0671
280,1980,3.287017,602.369854,313710.5654,635803.1576
281,2258,41.367401,54.584043,171211.4865,217496.8177
282,2693,4.355491,618.299973,164249.0049,213751.2418
283,191,70.305173,2.716728,197830.2878,219595.731
284,149,112.190097,1.328103,280955.2111,91264.19593
285,8279,4.968341,1666.3509,252978.6746,203914.7329
286,2005,18.347469,109.27938,295388.0099,487926.2187
287,2218,18.931695,117.158027,308075.3783,641512.7156
288,1262,46.658919,27.047348,317621.5283,233130.7678
289,2942,28.133825,104.571631,212938.285,505710.3398
290,1178,3.365369,350.035878,150740.2849,250785.7199
291,77,36.149306,2.130055,280153.7387,146119.483
292,2210,3.912506,564.855347,332199.5367,624829.3189
293,2283,125.077611,18.252667,222201.0531,561543.1862
294,2199,4.387118,501.240194,314342.4772,403642.7922
295,466,2.492023,186.996694,323330.1831,564985.5394
296,4426,63.303924,69.916677,279765.9357,361253.8421
297,14623,3.147089,4646.51655,318909.184,570502.2454
298,3060,8.326987,367.479837,300185.4724,604727.8236
299,1611,31.640695,50.915442,292352.8032,564256.1437
300,159,3.657016,43.478065,231322.7266,121655.8367
301,4520,7.493306,603.205038,146184.1062,455270.596
302,4789,8.053813,594.625152,219830.0999,197590.9887
303,5034,2.389107,2107.063772,321796.8255,575173.7631
304,4866,3.645776,1334.695117,332473.4819,578480.3323
305,18559,4.323233,4292.851907,326960.7265,575037.4796
306,328,3.847301,85.254583,308261.6798,585628.8629
307,698,4.917529,141.941207,333672.6182,561376.0368
308,1050,1.516989,692.160424,309636.9179,564404.326
309,972,2.521859,385.42992,316432.4819,582198.0077
310,888,1.808325,491.062133,325925.3995,569322.4906
311,682,1.639834,415.895752,328273.2276,568614.4192
312,10513,4.301306,2444.141497,323848.8515,569723.7949
313,564,0.92,613.043586,314791.868,586203.6124
314,776,1.635452,474.48662,163517.5021,216118.1131
315,4349,0.724223,6005.059784,353809.2263,584397.0348
316,1839,0.387087,4750.866001,352421.6856,586851.8057
317,60,1.634471,36.709127,315004.0852,551071.9841
318,5675,15.108105,375.626195,324950.8694,616462.5652
319,293,4.079789,71.817442,319666.6103,561145.989
320,4849,120.204523,40.33958,232940.1513,271981.3613
321,16691,23.981327,695.999842,232600.6099,158793.9974
322,4596,2.661195,1727.043972,308588.0275,566797.613
323,5410,4.598251,1176.534374,317334.8881,580482.6042
324,782,4.226411,185.026971,366054.2558,539350.4289
325,396,4.677889,84.653576,280535.2344,120407.3914
326,229,10.022082,22.849544,154328.8672,219420.9414
327,6321,11.479188,550.648718,237425.5539,160337.5553
328,9625,4.064306,2368.177718,158346.1967,237690.571
329,627,4.944925,126.796672,146371.634,250468.0116
330,1088,4.186362,259.891534,150808.1187,247492.896
331,1848,52.471577,35.219067,111205.4549,339455.4634
332,902,56.225366,16.042581,355455.4123,302594.0177
333,295,52.948292,5.571473,141708.6003,538162.3849
334,1234,22.680386,54.408245,208482.8873,63004.08829
335,1788,62.921821,28.416215,353329.7537,321255.3542
336,1551,144.717038,10.717466,199037.6221,507681.0998
337,369,22.18502,16.632845,224059.4276,61338.99325
338,1141,61.066803,18.684456,299987.8235,214514.04
339,778,108.028305,7.201816,167758.1751,330470.6696
340,16582,20.919492,792.65786,335082.7333,618364.1607
341,1450,4.519501,320.831906,320898.8951,636740.3195
342,13016,3.927029,3314.464857,313958.7136,569541.3153
343,910,2.019274,450.656932,345972.096,552061.6487
344,3114,1.306326,2383.784971,335932.8263,579785.7722
345,10919,2.294761,4758.228895,326665.7459,594439.1402
346,393,1.245651,315.497734,318855.0468,595517.4418
347,12013,6.491916,1850.455354,334871.3025,605613.9072
348,4831,5.646537,855.568648,321119.11,602543.6193
349,1607,6.531536,246.037086,317194.3863,572829.5691
350,6630,3.471867,1909.635231,313905.1938,577110.8922
351,2852,1.345979,2118.903353,325504.5949,574944.9071
352,384,3.633488,105.683578,312909.9464,579094.7164
353,432,1.616255,267.284562,314187.3013,579876.5492
354,373,4.123215,90.463387,320260.0976,564000.5101
355,1723,2.577423,668.497162,306931.5536,565334.7041
356,894,1.486676,601.341403,331276.7005,566455.7677
357,636,1.777357,357.834619,331353.1683,579420.2391
358,968,1.557101,621.668009,327575.5683,571046.7126
359,3748,63.568657,58.959874,293742.3825,599225.338
360,5142,33.416516,153.876004,190465.663,354511.919
361,259,1.09486,236.560022,181983.4079,348008.6105
362,14994,18.248815,821.642411,322690.5834,555259.8728
363,401,28.083062,14.27907,271811.8164,123991.5482
364,1448,30.189155,47.964243,193676.4948,443402.712
365,348400,1.020164,341513.5995,358157.7785,579142.8319
366,1076,8.504902,126.515276,351696.4529,530430.5267
367,151,2.075795,72.743214,307148.5697,543851.8053
368,5852,31.343865,186.703202,303675.4969,556529.607
369,179,4.020357,44.523407,311375.6578,586902.6934
370,2421,52.735771,45.908118,251260.192,414613.0214
371,1418,53.825157,26.344559,134529.963,189314.4657
372,429,2.102463,204.046371,332832.9144,567059.8171
373,6417,5.62432,1140.937961,338505.2032,613394.7208
374,1568,11.185763,140.178192,294629.6381,170561.4454
375,18094,196.69979,91.987897,222962.2181,527443.9984
376,5928,6.822568,868.881002,159330.779,214033.4754
377,196,38.269555,5.121565,253080.0467,307535.6452
378,3604,54.871312,65.680952,236125.4877,528007.6885
379,2489,6.331017,393.14377,145035.9046,235482.8878
380,1012,13.252837,76.361009,308818.2173,631279.4691
381,515,3.491056,147.519821,297715.2699,611514.8085
382,2037,68.653252,29.670845,206494.8352,267792.6307
383,521,19.07538,27.312693,307510.1929,128452.9274
384,186,4.281674,43.440958,324941.0366,640471.2924
385,652,25.331609,25.738594,204013.8683,456981.8539
386,3760,50.240609,74.839857,215646.3321,231326.292
387,2057,85.761519,23.985116,76298.7566,322836.1535
388,5952,4.028053,1477.636803,309570.5729,569467.7548
389,675,1.391922,484.940824,348215.0753,558734.5267
390,2172,91.258094,23.800629,283206.5774,332768.0968
391,2128,15.10346,140.894868,235902.5238,188559.7744
392,541,3.201079,169.005516,317793.2413,574688.6793
393,2996,3.413023,877.814205,317662.2906,589929.8346
394,3414,2.452639,1391.970098,319898.4415,590087.6735
395,6368,2.696216,2361.82841,330552.29,576499.6565
396,996,1.198901,830.761027,324756.5604,563640.3375
397,4261,2.07509,2053.405385,327667.989,563954.069
398,2430,1.587778,1530.440773,316485.4272,568557.8641
399,285,2.371772,120.163306,333917.2684,567756.4453
400,328,1.992783,164.593959,313395.1171,588150.7749
401,2289,40.965127,55.876795,177748.4219,342024.4614
402,496,37.522151,13.218858,177043.8643,425692.6289
403,919,10.418687,88.206892,310753.8697,508045.1055
404,2123,14.66587,144.757859,312985.9742,554662.1499
405,27330,0.497484,54936.4317,357320.8585,579578.9142
406,2753,29.643924,92.868947,274793.784,600821.7186
407,737,2.32975,316.342926,313091.1967,565302.447
408,126,1.393076,90.447332,323387.6646,562603.1747
409,1153,3.001732,384.111623,320654.8952,565956.0363
410,612,2.410786,253.859138,316791.1662,578930.9022
411,117,5.292181,22.108086,315714.9081,641770.2692
412,1837,6.279002,292.562419,136247.7123,200807.3487
413,979,1.939903,504.664472,153591.4586,208519.357
414,424,0.893616,474.47696,140206.1111,224397.8799
415,3972,3.808783,1042.852847,156862.8347,214200.173
416,1676,63.371276,26.447314,337022.713,202771.37
417,3233,55.049015,58.729479,233053.2431,225366.3087
418,1295,109.664682,11.808724,192371.4895,399885.5043
419,1984,3.382674,586.518203,198556.1897,451559.7189
420,427,52.176244,8.183801,81026.75416,467727.7526
421,1662,130.243221,12.760741,217250.0373,560327.9977
422,2821,3.434581,821.351934,250886.8265,156346.6309
423,3680,5.288822,695.807176,299990.9944,610493.2079
424,1711,89.591582,19.097776,152829.8465,291932.233
425,482,32.563559,14.801822,157947.1921,244811.2657
426,550,1.41215,389.477029,339695.7876,634801.9945
427,571,5.793345,98.561372,315950.7383,634841.8252
428,2876,11.281898,254.921655,312981.0271,611389.4247
429,676,49.062157,13.77844,209305.6523,308544.3918
430,735,1.568394,468.632117,306949.2631,562223.6032
431,4713,8.609544,547.415741,336273.9736,564317.1595
432,8671,4.295066,2018.828113,320122.5591,592083.6655
433,1295,11.93731,108.483402,165328.9047,418393.5299
434,777,71.979753,10.794702,132025.2326,425437.5941
435,1109,2.152323,515.257134,322473.4021,590543.2889
436,3948,1.644377,2400.908873,316881.4504,577370.8893
437,400,0.808115,494.978841,324068.5644,563594.5088
438,2441,3.137109,778.104817,323274.9518,586014.707
439,2894,2.570371,1125.907374,317554.3404,567763.9108
440,3514,3.047824,1152.953565,320640.6993,569705.6005
441,95,0.882869,107.603766,313470.8923,586057.5117
442,3760,161.22926,23.320829,245847.5329,309514.5541
443,4200,5.553663,756.257637,317248.72,558733.402
444,1159,1.84691,627.534786,318319.7372,543104.1555
445,7944,14.166208,560.771099,313999.0306,536117.3073
446,3206,9.370303,342.144746,309454.6488,559176.9763
447,5458,2.16099,2525.693965,341648.1301,582504.4699
448,1017,13.124335,77.489638,251926.5159,154087.2101
449,359,2.946944,121.82113,326385.8367,637331.164
450,1905,27.721526,68.719161,104132.441,530516.3138
451,7349,63.522886,115.690588,280957.866,329930.1045
452,1132,2.648441,427.421237,331248.1051,562413.4835
453,273,1.59444,171.219966,309384.8139,562011.9673
454,1591,1.380321,1152.630695,325883.0061,560861.2818
455,1016,10.696091,94.987973,319940.1073,617370.616
456,435,1.528319,284.626446,291360.3693,128315.443
457,1820,9.505617,191.465733,142053.5153,212703.6776
458,1229,40.545883,30.311339,245822.567,197392.8401
459,1906,60.812249,31.34237,211749.2774,221210.7083
460,1163,75.971355,15.308401,195336.5215,316419.1562
461,1802,49.080127,36.715471,275793.0262,615703.8168
462,1278,120.789747,10.580368,171033.4285,329864.0143
463,6094,97.379305,62.580032,173074.9764,422513.4993
464,766,1.169833,654.794446,361305.72,552193.7273
465,1056,28.621948,36.894764,271238.6483,325605.2396
466,646,0.408099,1582.94876,357753.2081,584463.1212
467,506,1.265427,399.865179,330236.3481,567835.6412
468,13371,3.795283,3523.057676,316694.135,570263.0868
469,715,1.947822,367.076744,326257.3207,586712.5055
470,44,1.483433,29.660928,313796.5294,587645.0722
471,1649,24.542397,67.189851,198061.4672,353454.969
472,2667,5.251788,507.827017,243080.3446,424552.5121
473,974,26.791988,36.354152,271274.3296,444332.6137
